지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),전운량(10분위),중하층운량(10분위),최저운고(100m )
108,서울,2021-01-01 1:00,-8.7,,2.4,270,68,2.2,-13.5,1016.4,1027.7,,,0,0,
108,서울,2021-01-01 2:00,-9.1,,1.6,270,69,2.1,-13.7,1016.2,1027.5,,,0,0,
108,서울,2021-01-01 3:00,-9.3,,1.1,250,70,2.1,-13.7,1016.8,1028.1,,,0,0,
108,서울,2021-01-01 4:00,-9.3,,0.3,0,71,2.2,-13.5,1016.2,1027.5,,,0,0,
108,서울,2021-01-01 5:00,-9.7,,1.9,20,72,2.1,-13.8,1015.6,1026.9,,,0,0,
108,서울,2021-01-01 6:00,-9.7,,2,50,75,2.2,-13.3,1015.4,1026.7,,,7,7,12
108,서울,2021-01-01 7:00,-9.3,,1.6,50,71,2.2,-13.5,1015.6,1026.9,,,6,6,16
108,서울,2021-01-01 8:00,-9.3,,1.6,50,72,2.2,-13.4,1015.8,1027.1,0,0,1,1,18
108,서울,2021-01-01 9:00,-8.6,,2.5,20,74,2.4,-12.4,1016.1,1027.4,0.6,0.27,1,1,18
108,서울,2021-01-01 10:00,-6.1,,1.1,50,68,2.6,-11,1016.4,1027.6,1,0.76,1,1,10
108,서울,2021-01-01 11:00,-3.2,,1.7,70,55,2.7,-10.9,1015.5,1026.5,1,1.4,0,0,
108,서울,2021-01-01 12:00,-1.1,,2.1,200,52,2.9,-9.7,1014.8,1025.7,0.9,1.74,8,8,9
108,서울,2021-01-01 13:00,-0.2,,3,250,56,3.4,-7.9,1014,1024.9,0.7,1.61,5,5,9
108,서울,2021-01-01 14:00,1.4,,1.6,200,53,3.6,-7.1,1013.2,1024,0.8,1.61,1,1,10
108,서울,2021-01-01 15:00,1.2,,2.6,270,52,3.5,-7.5,1013.3,1024.1,1,1.43,4,1,11
108,서울,2021-01-01 16:00,-0.2,,3.8,270,58,3.5,-7.4,1013.6,1024.5,0.1,0.42,3,3,18
108,서울,2021-01-01 17:00,-0.7,,1.8,250,61,3.5,-7.3,1013.6,1024.5,0.4,0.28,3,3,17
108,서울,2021-01-01 18:00,-1.4,,2.1,250,68,3.8,-6.5,1013.6,1024.5,0,0.02,3,3,15
108,서울,2021-01-01 19:00,-1.5,,2.4,250,70,3.8,-6.2,1013.6,1024.5,,,1,1,17
108,서울,2021-01-01 20:00,-1.6,,2.5,270,73,4,-5.8,1013.8,1024.7,,,8,7,15
108,서울,2021-01-01 21:00,-1.6,,2.3,270,66,3.6,-7.1,1014.3,1025.2,,,8,8,15
108,서울,2021-01-01 22:00,-1.8,,2.5,270,63,3.4,-7.9,1014.7,1025.7,,,8,8,15
108,서울,2021-01-01 23:00,-2.6,,1.9,250,55,2.8,-10.4,1014.9,1025.9,,,0,0,
108,서울,2021-01-02 0:00,-3.4,,2.5,320,55,2.6,-11.1,1015,1026,,,0,0,
108,서울,2021-01-02 1:00,-4.1,,2.3,320,39,1.8,-16,1015.1,1026.2,,,0,0,
108,서울,2021-01-02 2:00,-5,,2.7,270,42,1.8,-15.9,1015.5,1026.6,,,0,0,
108,서울,2021-01-02 3:00,-5.8,,1.9,270,45,1.8,-15.8,1015.8,1026.9,,,0,0,
108,서울,2021-01-02 4:00,-6.3,,1.7,290,45,1.7,-16.3,1015.8,1027,,,0,0,
108,서울,2021-01-02 5:00,-6.6,,1.1,320,40,1.5,-17.9,1016,1027.2,,,0,0,
108,서울,2021-01-02 6:00,-6.6,,2.7,320,35,1.3,-19.5,1016.2,1027.4,,,0,0,
108,서울,2021-01-02 7:00,-7.4,,1.5,290,38,1.3,-19.3,1016.6,1027.8,,,0,0,
108,서울,2021-01-02 8:00,-8.3,,1.3,270,41,1.3,-19.2,1017.1,1028.4,0,0,0,0,
108,서울,2021-01-02 9:00,-7.6,,2,270,39,1.4,-19.1,1017.9,1029.1,0.9,0.3,0,0,
108,서울,2021-01-02 10:00,-6,,2.3,320,35,1.4,-19,1018.6,1029.8,1,0.88,0,0,
108,서울,2021-01-02 11:00,-5.3,,3.2,290,32,1.3,-19.4,1019,1030.1,1,1.46,0,0,
108,서울,2021-01-02 12:00,-3.2,,3,270,33,1.6,-17.2,1018.7,1029.8,1,1.81,0,0,
108,서울,2021-01-02 13:00,-2.3,,2.5,290,31,1.6,-17.1,1018.3,1029.3,1,1.95,0,0,
108,서울,2021-01-02 14:00,-1.5,,4.4,250,31,1.7,-16.4,1018.1,1029.1,1,1.87,0,0,
108,서울,2021-01-02 15:00,-2.3,,5.2,290,33,1.7,-16.4,1017.9,1028.9,1,1.57,0,0,
108,서울,2021-01-02 16:00,-1.7,,3.4,290,34,1.8,-15.5,1018.2,1029.2,1,1.05,0,0,
108,서울,2021-01-02 17:00,-2.3,,4.5,270,35,1.8,-15.7,1018.9,1029.9,1,0.41,0,0,
108,서울,2021-01-02 18:00,-3.2,,2.7,250,39,1.9,-15.2,1019.5,1030.6,0.1,0.04,0,0,
108,서울,2021-01-02 19:00,-3.8,,2.8,270,50,2.3,-12.7,1020,1031.1,,,0,0,
108,서울,2021-01-02 20:00,-4.2,,2.9,320,41,1.8,-15.5,1020.5,1031.6,,,0,0,
108,서울,2021-01-02 21:00,-5,,2.3,290,39,1.6,-16.8,1020.4,1031.6,,,0,0,
108,서울,2021-01-02 22:00,-5.5,,2.8,320,42,1.7,-16.4,1020.6,1031.8,,,0,0,
108,서울,2021-01-02 23:00,-6.1,,1.9,270,45,1.7,-16.1,1020.8,1032,,,0,0,
108,서울,2021-01-03 0:00,-6.6,,3.8,290,45,1.7,-16.5,1021.5,1032.7,,,0,0,
108,서울,2021-01-03 1:00,-7.3,,2.4,270,48,1.7,-16.4,1022,1033.3,,,0,0,
108,서울,2021-01-03 2:00,-7.7,,2,270,50,1.7,-16.3,1022.6,1033.9,,,0,0,
108,서울,2021-01-03 3:00,-8,,2.2,250,51,1.7,-16.3,1022.8,1034.1,,,0,0,
108,서울,2021-01-03 4:00,-8.3,,1.6,270,52,1.7,-16.4,1022.9,1034.2,,,0,0,
108,서울,2021-01-03 5:00,-8.8,,1,270,53,1.7,-16.6,1022.6,1033.9,,,0,0,
108,서울,2021-01-03 6:00,-9,,1.3,270,53,1.6,-16.8,1023.4,1034.8,,,0,0,
108,서울,2021-01-03 7:00,-8.7,,1.1,290,54,1.7,-16.3,1023.6,1035,,,0,0,
108,서울,2021-01-03 8:00,-8.7,,0.9,230,58,1.8,-15.4,1023.7,1035.1,0,0,0,0,
